firstname,lastname,years,birthday,team,skills,manager,email
Willetta,Tjon,48,2021-10-14,developer,"python,react",FALSE,Willetta.Tjon@mailmail.com
Annabela,Brieta,73,december,Recruitment,py,TRUE,Annabela.Brieta@mailmail.com
Wynne,Parette,1,1956-05-05,HR,"typescript,js,javascript",TRUE,Wynne.Parette@mailmail.com
Julieta,Olympium,94,1978-01-02,Developers,python,FALSE,Julieta.Olympium@mailmail.com
Fidelia,Abernon,62,2000-05-29,HR,"typescript,python",FALSE,Fidelia.Abernon@mailmail.com
Dominga,Tufts,11,1960-06-22,Recruitment,"react,react,javascript",TRUE,Dominga.Tufts@mailmail.com
Berta,Hazlett,95,1978-03-17,Developers,"ts,react,js",TRUE,Berta.Hazlett@mailmail.com
Nadine,Fitzsimmons,47,1996-03-13,Developers,"ts,py,typescript",FALSE,Nadine.Fitzsimmons@mailmail.com
Angela,McCutcheon,85,1995-01-14,worker,"python,py",FALSE,Angela.McCutcheon@mailmail.com
Benita,Sallyann,13,2007-09-16,HR,"js,js",FALSE,Benita.Sallyann@mailmail.com
Lila,Valerio,58,2010-01-06,Recruitment,javascript,TRUE,Lila.Valerio@mailmail.com
Gusella,Chrystel,80,1997-12-31,Developers,"typescript,ts",TRUE,Gusella.Chrystel@mailmail.com
Andree,Stanwood,81,1952-12-27,HR,python,TRUE,Andree.Stanwood@mailmail.com
Gavrielle,Seumas,100,1953-10-23,HR,"java,python,java",TRUE,Gavrielle.Seumas@mailmail.com
Vere,Swigart,62,1970-12-01,Recruitment,"react,ts,ts",FALSE,Vere.Swigart@mailmail.com
Belinda,Bluh,31,1981-11-10,developer,python,TRUE,Belinda.Bluh@mailmail.com
Phedra,Strephon,17,2007-02-18,Recruitment,"javascript,typescript,ts",FALSE,Phedra.Strephon@mailmail.com
Sibella,Gert,95,1974-09-07,worker,"java,js,typescript",TRUE,Sibella.Gert@mailmail.com
Rani,Rosalba,97,1954-06-30,HR,,FALSE,Rani.Rosalba@mailmail.com
Brynna,Manolo,28,1950-09-15,Recruitment,java,FALSE,Brynna.Manolo@mailmail.com
Rori,Gaynor,58,1977-01-03,developer,js,FALSE,Rori.Gaynor@mailmail.com
Rivalee,Zola,95,1948-05-18,Developers,"typescript,react,javascript",FALSE,Rivalee.Zola@mailmail.com
Emelina,Raffo,23,2010-12-15,developer,"react,python",FALSE,Emelina.Raffo@mailmail.com
Margette,Koziara,80,1973-09-16,HR,"py,typescript,typescript",FALSE,Margette.Koziara@mailmail.com
Rivalee,Nunci,25,1972-07-30,developer,ts,FALSE,Rivalee.Nunci@mailmail.com
Allyce,Monk,80,1954-02-04,Recruitment,javascript,TRUE,Allyce.Monk@mailmail.com
Barbi,Sadowski,38,1982-05-27,HR,"java,python",TRUE,Barbi.Sadowski@mailmail.com
Micheline,Ardra,36,1998-03-13,HR,"py,react,typescript",FALSE,Micheline.Ardra@mailmail.com
Nonnah,Prouty,2,1977-02-28,Developers,ts,TRUE,Nonnah.Prouty@mailmail.com
Harrietta,Yam,10,2022-10-17,developer,"java,js",FALSE,Harrietta.Yam@mailmail.com
Desirae,Ralfston,60,2017-10-20,worker,"ts,javascript",TRUE,Desirae.Ralfston@mailmail.com
Mellicent,Alice,66,1947-03-28,Developers,"java,py,java",FALSE,Mellicent.Alice@mailmail.com
Talya,Eliathas,91,2017-06-11,developer,"python,javascript",FALSE,Talya.Eliathas@mailmail.com
Vanessa,Longfellow,20,1995-09-04,Recruitment,"java,react,python",TRUE,Vanessa.Longfellow@mailmail.com
Glynnis,Jagir,71,1972-06-03,HR,ts,TRUE,Glynnis.Jagir@mailmail.com
Fernande,Chick,99,1982-06-01,HR,python,TRUE,Fernande.Chick@mailmail.com
Kylynn,Loeb,89,2005-05-19,developer,"react,typescript",TRUE,Kylynn.Loeb@mailmail.com
Deedee,Goldina,59,2000-07-23,developer,"react,python,ts",FALSE,Deedee.Goldina@mailmail.com
Sybille,Philipp,43,1951-06-27,Developers,ts,FALSE,Sybille.Philipp@mailmail.com
Winny,Holtz,61,1947-03-29,Recruitment,"py,js",TRUE,Winny.Holtz@mailmail.com
Valli,Mullane,32,1964-11-11,HR,"py,java",TRUE,Valli.Mullane@mailmail.com
Madalyn,Engdahl,3,1960-09-03,worker,"java,ts,java",TRUE,Madalyn.Engdahl@mailmail.com
Beatriz,Azeria,47,1946-11-26,Developers,javascript,FALSE,Beatriz.Azeria@mailmail.com
Joleen,Naashom,3,1940-05-18,developer,py,TRUE,Joleen.Naashom@mailmail.com
Meg,Latini,16,1974-05-17,Developers,"java,typescript",TRUE,Meg.Latini@mailmail.com
Benita,Mathilde,58,1978-04-22,worker,"ts,py",TRUE,Benita.Mathilde@mailmail.com
Brianna,Nance,2,2007-11-19,worker,,TRUE,Brianna.Nance@mailmail.com
Yolane,Rosette,98,2018-08-25,HR,"typescript,typescript,java",TRUE,Yolane.Rosette@mailmail.com
Myriam,Lindemann,49,1992-09-14,worker,"typescript,typescript,ts",TRUE,Myriam.Lindemann@mailmail.com
Lelah,Iiette,32,1962-01-02,developer,"python,python",TRUE,Lelah.Iiette@mailmail.com
Cathyleen,Candy,20,1995-01-17,Recruitment,"ts,js",TRUE,Cathyleen.Candy@mailmail.com
Angela,Emmaline,89,1948-01-19,developer,python,TRUE,Angela.Emmaline@mailmail.com
Celestyna,Rurik,17,2017-12-20,Developers,"react,typescript",TRUE,Celestyna.Rurik@mailmail.com
Brynna,Sholley,78,1997-07-20,Recruitment,"ts,ts,python",FALSE,Brynna.Sholley@mailmail.com
Glynnis,Raul,40,2007-01-15,developer,"javascript,js",FALSE,Glynnis.Raul@mailmail.com
Jillayne,Tound,87,1964-06-19,Recruitment,"js,java,react",FALSE,Jillayne.Tound@mailmail.com
Edyth,Loeb,5,2006-01-10,Developers,"js,ts,java",TRUE,Edyth.Loeb@mailmail.com
Valera,Kalinda,43,1999-11-06,developer,"py,javascript,react",TRUE,Valera.Kalinda@mailmail.com
Vere,Aldric,79,1994-03-29,Recruitment,js,TRUE,Vere.Aldric@mailmail.com
Averyl,Aldric,36,1948-05-01,Recruitment,"react,java",TRUE,Averyl.Aldric@mailmail.com
Charissa,Vivle,72,1998-09-25,worker,,FALSE,Charissa.Vivle@mailmail.com
Fina,Bettine,85,1977-07-14,worker,"javascript,js",TRUE,Fina.Bettine@mailmail.com
Clementine,Lay,78,1957-03-08,Recruitment,"python,python",FALSE,Clementine.Lay@mailmail.com
Cathyleen,Bartlett,46,1973-10-14,Developers,javascript,TRUE,Cathyleen.Bartlett@mailmail.com
Blondelle,Casimir,62,1996-05-29,HR,"ts,java",TRUE,Blondelle.Casimir@mailmail.com
Sheelagh,Chauncey,9,1966-12-13,HR,python,TRUE,Sheelagh.Chauncey@mailmail.com
Lexine,Sherrie,5,2000-09-04,developer,typescript,TRUE,Lexine.Sherrie@mailmail.com
Wileen,Teddman,71,2020-02-07,Developers,"ts,java,javascript",TRUE,Wileen.Teddman@mailmail.com
Mara,Rad,85,1988-08-19,worker,"javascript,react,ts",TRUE,Mara.Rad@mailmail.com
Bobinette,Denis,91,2017-05-11,Recruitment,javascript,TRUE,Bobinette.Denis@mailmail.com
Chloris,Even,82,1974-02-02,Developers,javascript,TRUE,Chloris.Even@mailmail.com
Jasmina,Wattenberg,29,2023-08-23,Recruitment,js,TRUE,Jasmina.Wattenberg@mailmail.com
Celene,Desai,13,1984-05-28,HR,"py,python",FALSE,Celene.Desai@mailmail.com
Corly,Parsaye,85,1970-08-22,Developers,typescript,FALSE,Corly.Parsaye@mailmail.com
Delilah,Timon,4,1957-12-06,Developers,"typescript,js,react",FALSE,Delilah.Timon@mailmail.com
Violet,Girardo,49,1961-01-12,Recruitment,"javascript,javascript",FALSE,Violet.Girardo@mailmail.com
Josephine,Chesna,81,1995-10-06,Developers,"javascript,typescript",FALSE,Josephine.Chesna@mailmail.com
Babita,Bevin,61,2023-08-21,Recruitment,python,FALSE,Babita.Bevin@mailmail.com
Brena,Croix,50,1954-04-02,worker,"python,ts,java",TRUE,Brena.Croix@mailmail.com
Elie,Sholley,50,1972-09-25,HR,"java,react",TRUE,Elie.Sholley@mailmail.com
Kathy,Arvo,37,1980-09-15,Developers,"react,py,java",TRUE,Kathy.Arvo@mailmail.com
Nyssa,Fontana,12,1955-06-21,Recruitment,"java,react",TRUE,Nyssa.Fontana@mailmail.com
Ira,Emerson,13,2010-08-29,developer,"js,typescript",FALSE,Ira.Emerson@mailmail.com
Deirdre,Breed,85,1974-06-03,worker,"ts,react",TRUE,Deirdre.Breed@mailmail.com
Chandra,Nisbet,15,1989-05-29,HR,javascript,TRUE,Chandra.Nisbet@mailmail.com
Valera,Blake,65,1978-11-25,developer,"js,javascript",TRUE,Valera.Blake@mailmail.com
Constance,Telfer,44,1999-11-27,HR,"javascript,js,python",TRUE,Constance.Telfer@mailmail.com
Janey,Wattenberg,70,1969-01-04,worker,javascript,FALSE,Janey.Wattenberg@mailmail.com
Edee,Jerald,57,2002-03-06,Recruitment,"react,js,ts",TRUE,Edee.Jerald@mailmail.com
Yvonne,Olnee,70,2020-07-04,Developers,py,TRUE,Yvonne.Olnee@mailmail.com
Annice,Decato,72,2015-05-12,Recruitment,"ts,ts,python",TRUE,Annice.Decato@mailmail.com
Jinny,Chinua,99,1964-04-01,developer,python,FALSE,Jinny.Chinua@mailmail.com
Oona,Catie,6,2017-04-15,worker,"js,react",TRUE,Oona.Catie@mailmail.com
Darci,Bryna,96,2012-10-28,Developers,"js,javascript",FALSE,Darci.Bryna@mailmail.com
Merrie,Jillane,27,1954-06-03,Developers,py,FALSE,Merrie.Jillane@mailmail.com
Dania,Emmy,1,1969-10-05,Recruitment,"python,javascript,java",FALSE,Dania.Emmy@mailmail.com
Sybille,Thunell,98,1961-01-28,worker,"python,python",FALSE,Sybille.Thunell@mailmail.com
Queenie,Brodench,33,1941-01-18,Recruitment,ts,FALSE,Queenie.Brodench@mailmail.com
Shandie,Koziara,17,1963-09-28,Recruitment,"ts,java,python",TRUE,Shandie.Koziara@mailmail.com
Amelia,Margarete,30,2019-09-17,worker,,FALSE,Amelia.Margarete@mailmail.com
Gianina,Seligman,88,1966-01-19,Recruitment,"js,js",TRUE,Gianina.Seligman@mailmail.com
Latisha,Rolf,21,1992-09-21,worker,"py,javascript",FALSE,Latisha.Rolf@mailmail.com
Blake,Friede,32,1959-11-20,Developers,react,FALSE,Blake.Friede@mailmail.com
Heddie,Barbey,14,1992-03-17,worker,"py,ts,ts",FALSE,Heddie.Barbey@mailmail.com
Laure,Ricki,72,2024-09-24,HR,"python,java,java",TRUE,Laure.Ricki@mailmail.com
Jacenta,Fink,43,2017-03-01,Recruitment,"ts,js,java",FALSE,Jacenta.Fink@mailmail.com
Lacie,Braun,74,1946-04-07,developer,"react,ts",FALSE,Lacie.Braun@mailmail.com
Abbie,Fancie,18,2005-05-07,HR,react,TRUE,Abbie.Fancie@mailmail.com
Correy,Cleo,67,2024-12-27,HR,"javascript,java",TRUE,Correy.Cleo@mailmail.com
Ericka,Granoff,69,1992-04-06,developer,"java,python,ts",TRUE,Ericka.Granoff@mailmail.com
Lenna,Cassius,45,2004-03-14,Developers,"ts,ts,typescript",TRUE,Lenna.Cassius@mailmail.com
Gusty,Nisbet,38,2017-08-07,HR,"javascript,ts",TRUE,Gusty.Nisbet@mailmail.com
Shannah,Yuille,26,1987-09-16,Developers,"python,java,javascript",FALSE,Shannah.Yuille@mailmail.com
Tiffie,Virgin,61,1967-10-20,HR,"java,javascript,python",FALSE,Tiffie.Virgin@mailmail.com
Penelopa,Pitt,23,1998-08-26,HR,python,TRUE,Penelopa.Pitt@mailmail.com
Florie,Danby,99,1999-06-16,Recruitment,typescript,FALSE,Florie.Danby@mailmail.com
Elora,Rocray,97,1943-10-25,Developers,"javascript,py",FALSE,Elora.Rocray@mailmail.com
Cyb,Japeth,53,1958-02-02,HR,ts,FALSE,Cyb.Japeth@mailmail.com
Cristine,Lanita,4,1984-04-14,Recruitment,python,TRUE,Cristine.Lanita@mailmail.com
Sharlene,Mayeda,9,1972-09-24,Recruitment,"python,javascript,javascript",TRUE,Sharlene.Mayeda@mailmail.com
Myrtice,Roarke,25,2012-02-29,developer,,FALSE,Myrtice.Roarke@mailmail.com
Moyna,Nester,52,1990-06-01,developer,"py,py",FALSE,Moyna.Nester@mailmail.com
Ninnetta,Isacco,68,2002-06-09,Recruitment,"python,py",TRUE,Ninnetta.Isacco@mailmail.com
Perry,Ilka,91,1995-10-24,HR,"javascript,react,typescript",FALSE,Perry.Ilka@mailmail.com
Tonia,Edee,33,1974-07-27,developer,"java,js,react",FALSE,Tonia.Edee@mailmail.com
Sibella,Merriott,56,2015-11-13,HR,,TRUE,Sibella.Merriott@mailmail.com
Anallese,Clara,65,1964-09-16,Recruitment,"java,python,py",TRUE,Anallese.Clara@mailmail.com
Steffane,Jobi,84,1998-07-05,Developers,react,TRUE,Steffane.Jobi@mailmail.com
Brianna,Ferino,2,1940-02-25,HR,"typescript,js",FALSE,Brianna.Ferino@mailmail.com
Nerta,Capello,34,1950-10-24,Recruitment,"java,react",TRUE,Nerta.Capello@mailmail.com
Harmonia,Abernon,3,2016-12-15,developer,"java,java,java",FALSE,Harmonia.Abernon@mailmail.com
Genovera,Craggie,93,1971-04-10,HR,"react,ts",TRUE,Genovera.Craggie@mailmail.com
Jsandye,Margret,86,2014-06-23,Recruitment,python,TRUE,Jsandye.Margret@mailmail.com
Anestassia,Mandler,16,2003-04-15,developer,"ts,ts,java",FALSE,Anestassia.Mandler@mailmail.com
Blinni,Ranjiv,29,1995-10-31,Recruitment,"py,py",TRUE,Blinni.Ranjiv@mailmail.com
Marti,Whiffen,58,1966-05-07,Recruitment,typescript,TRUE,Marti.Whiffen@mailmail.com
Annabela,Gert,24,1963-11-08,Developers,"js,typescript",FALSE,Annabela.Gert@mailmail.com
Layla,Tannie,86,1977-04-20,Recruitment,"react,javascript",TRUE,Layla.Tannie@mailmail.com
Liana,Marijo,47,1990-09-30,worker,"javascript,java",FALSE,Liana.Marijo@mailmail.com
Deirdre,Kimmie,64,1954-05-07,HR,"typescript,ts,py",TRUE,Deirdre.Kimmie@mailmail.com
Evaleen,Stephie,11,1989-04-29,Recruitment,"typescript,javascript",TRUE,Evaleen.Stephie@mailmail.com
Gui,Millda,71,2025-05-11,HR,,FALSE,Gui.Millda@mailmail.com
Marti,Weaks,86,2015-09-14,Recruitment,"typescript,py",TRUE,Marti.Weaks@mailmail.com
Gisela,Berne,46,2009-01-29,HR,"js,python",FALSE,Gisela.Berne@mailmail.com
Georgetta,Tomasina,99,1967-05-24,Recruitment,,FALSE,Georgetta.Tomasina@mailmail.com
Nita,Gabrielli,30,1973-06-12,HR,,TRUE,Nita.Gabrielli@mailmail.com
Jaime,Woodberry,70,2019-08-12,Recruitment,,TRUE,Jaime.Woodberry@mailmail.com
Dawn,Carbo,100,2022-12-09,worker,javascript,FALSE,Dawn.Carbo@mailmail.com
Marguerite,Rossner,18,1941-12-11,Developers,python,FALSE,Marguerite.Rossner@mailmail.com
Maud,Alfons,52,2011-10-08,Recruitment,react,FALSE,Maud.Alfons@mailmail.com
Gratia,Carlson,29,2006-01-21,Recruitment,js,TRUE,Gratia.Carlson@mailmail.com
Feliza,Stacy,94,1974-04-28,HR,"typescript,py",FALSE,Feliza.Stacy@mailmail.com
Elora,Jacqui,75,1958-08-28,HR,"typescript,typescript",FALSE,Elora.Jacqui@mailmail.com
Moyna,Nelsen,95,1958-08-06,HR,"react,typescript,typescript",FALSE,Moyna.Nelsen@mailmail.com
Ardeen,Tiffa,78,2007-03-16,Developers,react,TRUE,Ardeen.Tiffa@mailmail.com
Leanna,Tayib,87,1982-02-27,developer,javascript,FALSE,Leanna.Tayib@mailmail.com
Myrtice,Lilybelle,67,2000-10-02,worker,"react,react,typescript",FALSE,Myrtice.Lilybelle@mailmail.com
Nananne,Demitria,52,1988-02-01,Recruitment,"js,ts",TRUE,Nananne.Demitria@mailmail.com
Sandie,Irmine,3,1954-12-11,worker,"react,java",TRUE,Sandie.Irmine@mailmail.com
Rosaline,Dorothy,75,1950-01-06,Developers,python,TRUE,Rosaline.Dorothy@mailmail.com
Sabina,Alrich,95,1948-06-17,HR,"react,ts",FALSE,Sabina.Alrich@mailmail.com
Danny,Weaks,5,1980-02-02,HR,"python,python,ts",TRUE,Danny.Weaks@mailmail.com
Arlena,Dannye,9,2009-03-14,HR,"ts,py,java",FALSE,Arlena.Dannye@mailmail.com
Evita,Suk,90,1971-05-31,developer,javascript,FALSE,Evita.Suk@mailmail.com
Mallory,Gaspard,44,2021-11-27,worker,"typescript,js,py",FALSE,Mallory.Gaspard@mailmail.com
Renae,Ajay,72,2005-07-28,Developers,"js,py,typescript",TRUE,Renae.Ajay@mailmail.com
Kial,Malvino,51,1994-05-21,Recruitment,react,TRUE,Kial.Malvino@mailmail.com
Damaris,Ellerey,31,2021-09-29,Developers,"ts,react,py",TRUE,Damaris.Ellerey@mailmail.com
Mallory,Fillbert,69,1968-08-21,Recruitment,"javascript,js",TRUE,Mallory.Fillbert@mailmail.com
Madeleine,Hollingsworth,25,1963-05-15,Developers,"react,javascript,ts",FALSE,Madeleine.Hollingsworth@mailmail.com
Mignon,Linskey,42,1945-01-24,developer,,FALSE,Mignon.Linskey@mailmail.com
Jaclyn,Lanita,89,1963-05-06,developer,ts,TRUE,Jaclyn.Lanita@mailmail.com
Shannah,Nea,100,1982-03-05,Recruitment,"react,py,java",TRUE,Shannah.Nea@mailmail.com
Ruthe,Madaih,99,2006-12-14,Recruitment,"py,ts,java",TRUE,Ruthe.Madaih@mailmail.com
Edee,Berne,80,2002-12-21,HR,"ts,ts",FALSE,Edee.Berne@mailmail.com
Jordan,Robertson,44,1990-03-15,developer,"react,javascript",FALSE,Jordan.Robertson@mailmail.com
Albertina,Kalinda,7,1941-04-26,Developers,"py,typescript",FALSE,Albertina.Kalinda@mailmail.com
Antonietta,Campball,40,1978-10-23,HR,python,FALSE,Antonietta.Campball@mailmail.com
Codie,Edvard,50,2009-09-04,Developers,"typescript,react",TRUE,Codie.Edvard@mailmail.com
Desirae,Judye,26,2002-08-27,Developers,"java,python",FALSE,Desirae.Judye@mailmail.com
Deloria,Lytton,69,1945-05-28,HR,react,TRUE,Deloria.Lytton@mailmail.com
Penelopa,Vary,83,2017-04-09,Developers,"java,java",FALSE,Penelopa.Vary@mailmail.com
Ernesta,Bonilla,6,1952-01-17,HR,"ts,python",TRUE,Ernesta.Bonilla@mailmail.com
Belinda,Breed,43,1988-06-18,worker,"typescript,javascript,javascript",TRUE,Belinda.Breed@mailmail.com
Amara,Celestine,87,2002-01-14,worker,"ts,typescript",FALSE,Amara.Celestine@mailmail.com
Liana,Cherianne,93,2002-05-04,Developers,js,FALSE,Liana.Cherianne@mailmail.com
Pollyanna,Horan,83,1953-08-08,developer,"javascript,py,react",FALSE,Pollyanna.Horan@mailmail.com
Gertrud,Rozanna,40,1968-06-28,Developers,"react,javascript,typescript",TRUE,Gertrud.Rozanna@mailmail.com
Netty,Donoghue,30,2017-08-08,Recruitment,"java,py",TRUE,Netty.Donoghue@mailmail.com
Rivalee,Kelula,83,2004-05-11,HR,"ts,js",TRUE,Rivalee.Kelula@mailmail.com
Melisent,Ariella,19,1985-12-22,Developers,"javascript,typescript,py",FALSE,Melisent.Ariella@mailmail.com
Charlena,Edmund,40,1979-01-29,developer,"java,javascript",FALSE,Charlena.Edmund@mailmail.com
Blinni,Carleen,35,1960-09-14,worker,"typescript,py,javascript",FALSE,Blinni.Carleen@mailmail.com
Constance,Toor,66,1966-11-19,Recruitment,"js,react",TRUE,Constance.Toor@mailmail.com
Elora,Lilas,29,2018-06-06,developer,"py,javascript,javascript",FALSE,Elora.Lilas@mailmail.com
Bobinette,Bertold,71,1967-05-22,Recruitment,"python,ts",TRUE,Bobinette.Bertold@mailmail.com
Elsie,Azeria,13,2019-08-10,Recruitment,"python,ts",TRUE,Elsie.Azeria@mailmail.com
Merry,Hull,3,1983-02-02,Developers,"typescript,java,javascript",TRUE,Merry.Hull@mailmail.com
Kirstin,Andrel,48,1975-03-10,worker,"ts,react",FALSE,Kirstin.Andrel@mailmail.com
Aaren,Astra,70,1955-05-25,Recruitment,"java,javascript",TRUE,Aaren.Astra@mailmail.com
Christy,Travax,75,1968-03-22,HR,"ts,react,typescript",TRUE,Christy.Travax@mailmail.com
Caressa,Malvino,35,2019-11-14,Developers,javascript,FALSE,Caressa.Malvino@mailmail.com
Tobe,Ammann,4,2000-11-18,Developers,"typescript,react,ts",TRUE,Tobe.Ammann@mailmail.com
Melina,Chaing,4,1986-07-24,developer,"js,py,react",TRUE,Melina.Chaing@mailmail.com
Olwen,Lewes,47,2021-08-07,developer,typescript,FALSE,Olwen.Lewes@mailmail.com
Dotty,Wandie,45,1992-05-04,Recruitment,"javascript,py",FALSE,Dotty.Wandie@mailmail.com
Sharai,Sikorski,39,1946-10-17,Recruitment,"js,react,js",FALSE,Sharai.Sikorski@mailmail.com
Peri,Presber,89,2019-06-01,Developers,"javascript,typescript,java",TRUE,Peri.Presber@mailmail.com
Michaelina,Suanne,16,2025-09-07,worker,"react,react,python",FALSE,Michaelina.Suanne@mailmail.com
Beverley,Buckler,7,1970-11-27,worker,"typescript,javascript,javascript",FALSE,Beverley.Buckler@mailmail.com
Annabela,Ingra,86,1978-10-19,Recruitment,python,FALSE,Annabela.Ingra@mailmail.com
Suzette,Rhu,50,1975-08-14,Recruitment,"javascript,javascript,java",FALSE,Suzette.Rhu@mailmail.com
Christy,Ader,3,1986-05-11,worker,"java,java",FALSE,Christy.Ader@mailmail.com
Albertina,Lytton,99,1975-01-08,HR,ts,TRUE,Albertina.Lytton@mailmail.com
Feliza,Bahr,63,1989-09-24,HR,js,FALSE,Feliza.Bahr@mailmail.com
Deane,Georgy,74,2025-07-10,Recruitment,"javascript,typescript,python",TRUE,Deane.Georgy@mailmail.com
Fina,Allina,84,1983-10-29,HR,"java,python,python",TRUE,Fina.Allina@mailmail.com
Cherrita,Wiener,58,1987-09-22,Developers,typescript,TRUE,Cherrita.Wiener@mailmail.com
Robbi,Ophelia,83,1948-12-21,worker,"java,py,js",TRUE,Robbi.Ophelia@mailmail.com
Millie,Kannry,93,2019-08-19,worker,"typescript,javascript",TRUE,Millie.Kannry@mailmail.com
Kaia,Roche,18,1967-09-24,worker,"react,py,typescript",FALSE,Kaia.Roche@mailmail.com
Mara,Billye,13,2005-09-03,developer,javascript,FALSE,Mara.Billye@mailmail.com
Justinn,Seessel,39,1998-05-26,HR,"react,react",TRUE,Justinn.Seessel@mailmail.com
Thalia,Madelene,33,1957-01-23,developer,js,TRUE,Thalia.Madelene@mailmail.com
Krystle,Bonucci,83,1986-06-02,developer,ts,TRUE,Krystle.Bonucci@mailmail.com
Dotty,Tillford,89,1965-05-26,worker,python,TRUE,Dotty.Tillford@mailmail.com
Barbara,Sophronia,40,1962-02-27,HR,"py,typescript",FALSE,Barbara.Sophronia@mailmail.com
Beth,Riva,16,1984-03-09,worker,typescript,FALSE,Beth.Riva@mailmail.com
Keelia,Desai,91,1965-09-10,developer,"java,typescript,py",FALSE,Keelia.Desai@mailmail.com
Josephine,Pond,8,2024-11-25,worker,"javascript,ts",FALSE,Josephine.Pond@mailmail.com
Jobi,Malina,73,1947-11-19,HR,py,TRUE,Jobi.Malina@mailmail.com
Flo,Hailee,13,2003-02-19,Recruitment,"js,javascript",FALSE,Flo.Hailee@mailmail.com
Celisse,Edmund,98,1950-05-07,Recruitment,javascript,FALSE,Celisse.Edmund@mailmail.com
Vonny,Hepsibah,65,1975-12-17,Developers,ts,FALSE,Vonny.Hepsibah@mailmail.com
Laurene,Autrey,50,1950-08-23,HR,"javascript,py,ts",FALSE,Laurene.Autrey@mailmail.com
Max,Nicoline,64,1978-11-18,Developers,"typescript,react",TRUE,Max.Nicoline@mailmail.com
Rhea,Angelis,100,2023-09-07,HR,"js,ts",TRUE,Rhea.Angelis@mailmail.com
Cathie,Kiyoshi,89,2022-04-05,Recruitment,"react,java,react",TRUE,Cathie.Kiyoshi@mailmail.com
Lorne,Nicoline,89,1991-12-04,Recruitment,"py,java,java",FALSE,Lorne.Nicoline@mailmail.com
Zaria,Oscar,74,1979-08-15,HR,python,FALSE,Zaria.Oscar@mailmail.com
Dennie,Howlyn,84,1965-01-02,worker,"python,typescript",FALSE,Dennie.Howlyn@mailmail.com
Bee,Nore,2,2016-08-09,developer,react,TRUE,Bee.Nore@mailmail.com
Vivia,Barbey,14,1945-02-15,Developers,"python,py,java",FALSE,Vivia.Barbey@mailmail.com
Sidoney,Gordon,59,1971-05-17,developer,"ts,js,ts",FALSE,Sidoney.Gordon@mailmail.com
Randa,Brittani,12,1960-09-18,developer,"python,js,react",TRUE,Randa.Brittani@mailmail.com
Selma,Audly,61,1954-02-27,developer,"javascript,java,py",TRUE,Selma.Audly@mailmail.com
Elsie,Bashemeth,6,2011-02-08,worker,"java,py,js",TRUE,Elsie.Bashemeth@mailmail.com
